episode,venue,root,impact_large_mean_bps_usdc,impact_large_mean_bps_usdt,impact_large_delta_usdc_minus_usdt_bps,impact_all_mean_bps_usdc,impact_all_mean_bps_usdt,preferred_quote_on_large
bybit_usdc_depeg_2023,bybit,BTC,11.149727976924966,8.167493653975193,2.9822343229497736,8.930262915406656,6.128325133103176,USDT
bybit_usdc_depeg_2023,bybit,ETH,11.288407835018694,10.35914867484383,0.9292591601748637,10.101611110952279,7.548126260084552,USDT
bybit_usdc_depeg_2023,bybit,SOL,13.5724811777567,15.171666888731627,-1.5991857109749272,14.973906016129996,13.630202563668213,USDC
march_vol_2024_binance,binance,BNB,14.592461281468827,15.305732573733644,-0.7132712922648174,10.010381914647265,10.11426224383737,USDC
march_vol_2024_binance,binance,BTC,10.247856279942425,10.653645748561324,-0.40578946861889875,5.923006915353761,6.02118406644843,USDC
march_vol_2024_binance,binance,ETH,9.710517158541391,10.77254948549095,-1.0620323269495593,6.279006160936734,6.422590233638254,USDC
march_vol_2024_binance,binance,SOL,14.695266079676225,18.394901928664556,-3.699635848988331,11.631011496385064,11.671989483826056,USDC
okx_usdc_depeg_2023,okx,BTC,6.426770314515272,11.026529229531,-4.5997589150157285,5.634175798647268,6.762237284637581,USDC
okx_usdc_depeg_2023,okx,ETH,8.94380945631779,12.405492194085898,-3.4616827377681076,6.7246132587621075,7.988520624283839,USDC
yen_followthrough_2024_binance,binance,BNB,10.244869250774297,11.642265170261124,-1.3973959194868275,8.183963934803092,8.115851036091586,USDC
yen_followthrough_2024_binance,binance,BTC,10.452957579911669,10.78792774300293,-0.3349701630912616,7.667910842435033,7.711966601453133,USDC
yen_followthrough_2024_binance,binance,ETH,14.396066615995132,15.036634415882475,-0.6405677998873429,10.359642472205866,10.491481387592753,USDC
yen_followthrough_2024_binance,binance,SOL,18.837158219476436,18.719334682013557,0.1178235374628791,13.76721639438268,13.815288728342196,USDT
yen_unwind_2024_binance,binance,BNB,21.452743673682853,22.825023161468337,-1.3722794877854838,16.163333753114916,16.02828542138566,USDC
yen_unwind_2024_binance,binance,BTC,18.30174187990824,18.627876116977003,-0.3261342370687643,14.193102398605337,14.141153076779577,USDC
yen_unwind_2024_binance,binance,ETH,25.835947224493253,27.984854053610547,-2.148906829117294,17.535074878081595,17.681030821802928,USDC
yen_unwind_2024_binance,binance,SOL,37.92460533861939,39.71439376721555,-1.7897884285961538,25.993424971270954,26.032203264945785,USDC
