episode,venue,root,quote,symbol,n_obs,median_volume,median_rel_size,q90_rel_size,impact_all_mean_bps,impact_all_median_bps,impact_large_mean_bps,impact_large_median_bps,large_count
bybit_usdc_depeg_2023,bybit,BNB,USDT,BNBUSDT-SPOT,2859,1.018,0.9829172141918529,9.642736004666432,5.411063667763892,3.6205117409160437,5.153321995189978,3.93074782504943,286
bybit_usdc_depeg_2023,bybit,BTC,USDC,BTCUSDC-SPOT,2857,2.325781,0.9429832286141592,3.3668137129196296,8.930262915406656,5.744667891995903,11.149727976924966,6.823777773981021,286
bybit_usdc_depeg_2023,bybit,BTC,USDT,BTCUSDT-SPOT,2859,3.986525,0.9573735106223953,3.304104937472074,6.128325133103176,4.307671253016565,8.167493653975193,5.037487007069075,286
bybit_usdc_depeg_2023,bybit,ETH,USDC,ETHUSDC-SPOT,2857,23.46435,0.9973314004075065,3.757611317525756,10.101611110952279,6.489375466314229,11.288407835018694,6.883765034122469,286
bybit_usdc_depeg_2023,bybit,ETH,USDT,ETHUSDT-SPOT,2859,53.34511,0.9651791116069006,3.2386314729620995,7.548126260084552,5.335120953349204,10.35914867484383,6.6853219226237215,286
bybit_usdc_depeg_2023,bybit,SOL,USDC,SOLUSDC-SPOT,2590,20.378,0.9906351319682456,12.123289102564097,14.973906016129996,6.209311834373121,13.5724811777567,5.943536579127162,259
bybit_usdc_depeg_2023,bybit,SOL,USDT,SOLUSDT-SPOT,2859,417.958,0.9999446826490656,3.2980844605254656,13.630202563668213,11.229647446238111,15.171666888731627,11.46789493549516,286
march_vol_2024_binance,binance,BNB,USDC,BNBUSDC-PERP,2859,19.63,1.0090180360721444,4.236472458951959,10.010381914647265,6.829823828375936,14.592461281468827,9.77016959663235,286
march_vol_2024_binance,binance,BNB,USDT,BNBUSDT-PERP,2859,1297.85,0.984861476868056,2.902594876338971,10.11426224383737,6.874193249730709,15.305732573733644,10.708666867991212,286
march_vol_2024_binance,binance,BTC,USDC,BTCUSDC-PERP,2859,5.4,0.9622828784119108,2.777591932037819,5.923006915353761,4.001046902626371,10.247856279942425,6.441672477466298,286
march_vol_2024_binance,binance,BTC,USDT,BTCUSDT-PERP,2859,131.257,0.9516646270109963,3.1094696263642714,6.02118406644843,4.0968427985532685,10.653645748561324,7.36671081507545,286
march_vol_2024_binance,binance,ETH,USDC,ETHUSDC-PERP,2859,56.964,0.9560914681014604,2.7668875276452156,6.279006160936734,4.277256884286373,9.710517158541391,7.3672519779410806,286
march_vol_2024_binance,binance,ETH,USDT,ETHUSDT-PERP,2859,1108.094,0.939693763188566,3.2154400098206506,6.422590233638254,4.477119339423297,10.77254948549095,6.996533104057789,286
march_vol_2024_binance,binance,SOL,USDC,SOLUSDC-PERP,2859,364.61,0.9872549019607844,3.3375488026501623,11.631011496385064,8.501300420080682,14.695266079676225,10.757494947171153,286
march_vol_2024_binance,binance,SOL,USDT,SOLUSDT-PERP,2859,14132.0,0.975614591593973,2.6159764230106544,11.671989483826056,8.348931956394523,18.394901928664556,13.225689520055539,286
okx_usdc_depeg_2023,okx,BTC,USDC,BTCUSDC-230331,2663,885.0,0.9823434991974318,3.9931632325407924,5.634175798647268,3.09352008221353,6.426770314515272,3.5775313426711364,267
okx_usdc_depeg_2023,okx,BTC,USDT,BTCUSDT-230331,2734,23.0,1.0,5.39538461538462,6.762237284637581,4.646868128412862,11.026529229531,7.725673952494461,274
okx_usdc_depeg_2023,okx,ETH,USDC,ETHUSDC-230331,2566,376.5,1.024761102280779,6.429005185808748,6.7246132587621075,3.677316142347564,8.94380945631779,5.153124517081054,257
okx_usdc_depeg_2023,okx,ETH,USDT,ETHUSDT-230331,2732,23.0,1.0,7.441674418604651,7.988520624283839,5.514950407938812,12.405492194085898,9.532951149431312,274
yen_followthrough_2024_binance,binance,BNB,USDC,BNBUSDC-PERP,2859,19.12,0.982938114517062,2.7151152828061016,8.183963934803092,6.063668705245107,10.244869250774297,8.211487048188637,286
yen_followthrough_2024_binance,binance,BNB,USDT,BNBUSDT-PERP,2859,420.14,0.9649021132235494,2.7656917183642933,8.115851036091586,5.843925614525958,11.642265170261124,9.196056620637272,286
yen_followthrough_2024_binance,binance,BTC,USDC,BTCUSDC-PERP,2858,7.5120000000000005,0.9822096020636297,2.9512592465689775,7.667910842435033,5.602757738136788,10.452957579911669,8.34926852752993,286
yen_followthrough_2024_binance,binance,BTC,USDT,BTCUSDT-PERP,2858,178.09550000000002,0.9736086993778565,2.692319218956067,7.711966601453133,5.794382199661996,10.78792774300293,8.568657052343553,286
yen_followthrough_2024_binance,binance,ETH,USDC,ETHUSDC-PERP,2859,142.722,0.99623737137226,2.6049986999647823,10.359642472205866,7.594769216865416,14.396066615995132,10.15196692050413,286
yen_followthrough_2024_binance,binance,ETH,USDT,ETHUSDT-PERP,2859,2182.573,0.9908052279320443,2.5917104870562913,10.491481387592753,7.624887842450079,15.036634415882475,10.23473408007014,286
yen_followthrough_2024_binance,binance,SOL,USDC,SOLUSDC-PERP,2859,1639.8,0.9829022319349408,2.091326378802079,13.76721639438268,10.517159518839136,18.837158219476436,13.83573777051783,286
yen_followthrough_2024_binance,binance,SOL,USDT,SOLUSDT-PERP,2859,18105.0,0.981968461120174,2.4580759920582107,13.815288728342196,10.590016118312562,18.719334682013557,14.96654773589512,286
yen_unwind_2024_binance,binance,BNB,USDC,BNBUSDC-PERP,2858,54.1,0.9816299185509576,2.2849978764055483,16.163333753114916,11.354605129114681,21.452743673682853,11.592821372294893,286
yen_unwind_2024_binance,binance,BNB,USDT,BNBUSDT-PERP,2858,1086.085,0.9467143428732631,2.3878660923855763,16.02828542138566,11.050532318104267,22.825023161468337,13.733811214513558,286
yen_unwind_2024_binance,binance,BTC,USDC,BTCUSDC-PERP,2858,18.2965,0.9675741255420234,2.544596890734427,14.193102398605337,9.974962362697681,18.30174187990824,12.475221099537137,286
yen_unwind_2024_binance,binance,BTC,USDT,BTCUSDT-PERP,2857,351.851,0.9483018555542456,2.4367845560346844,14.141153076779577,9.843751793638944,18.627876116977003,11.781241285131472,286
yen_unwind_2024_binance,binance,ETH,USDC,ETHUSDC-PERP,2856,256.28999999999996,0.9571535425944288,2.2999437570976085,17.535074878081595,11.724665306616089,25.835947224493253,14.614682816884716,286
yen_unwind_2024_binance,binance,ETH,USDT,ETHUSDT-PERP,2856,3578.1855,0.9630137515361277,2.273720052203472,17.681030821802928,11.743188220210143,27.984854053610547,14.934162134729867,286
yen_unwind_2024_binance,binance,SOL,USDC,SOLUSDC-PERP,2859,3083.55,0.9903529942332293,1.7708670866077962,25.993424971270954,18.153799662661285,37.92460533861939,21.220431186659283,286
yen_unwind_2024_binance,binance,SOL,USDT,SOLUSDT-PERP,2859,29807.0,0.9640482494851427,2.214261837146963,26.032203264945785,18.0287220542219,39.71439376721555,19.342924876668555,286
