episode,venue,market_type,root,quote,symbol,size_bin,dnl_bin_low,dnl_bin_high,n_obs,dnl_median,book_walk_mean_bps,book_walk_median_bps,queue_load_mean
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(-0.00099774, 1.28e-05]",-0.00099774,1.28e-05,67864,1.16037754412683e-05,0.0010577796140523745,0.0011603775441268302,0.0041398106767540944
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(1.28e-05, 1.79e-05]",1.28e-05,1.79e-05,67860,1.5635855776055585e-05,0.0015453033644735603,0.0015635855776055586,0.0047487285678205595
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(1.79e-05, 2.44e-05]",1.79e-05,2.44e-05,67862,1.965637420995069e-05,0.0020202033411674176,0.0019656374209950688,0.00406705971010893
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(2.44e-05, 4.83e-05]",2.44e-05,4.83e-05,67862,3.456468819180883e-05,0.0034960647470619367,0.003456468819180882,0.006465395776167025
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(4.83e-05, 8.67e-05]",4.83e-05,8.67e-05,67862,6.520340557695356e-05,0.0066252798525092685,0.006520340557695358,0.007900868354121076
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(8.67e-05, 0.000129]",8.67e-05,0.000129,67861,0.00011006256629923756,0.010914384467284245,0.011006256629923756,0.007880680877137298
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(0.000129, 0.00018]",0.000129,0.00018,67862,0.00015151890410260285,0.015263039616882624,0.015151890410260284,0.007964942470384382
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(0.00018, 0.000333]",0.00018,0.000333,67862,0.0002414934642596492,0.024700281351952052,0.02414934642596492,0.008989863720784263
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(0.000333, 0.000615]",0.000333,0.000615,67862,0.000437711950803356,0.045167765361906205,0.0437711950803356,0.008450441634139822
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(0.000615, 0.112]",0.000615,0.112,67862,0.0008792881185865075,0.14026786945305073,0.08792881185865076,0.01499709228174919
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(-0.00099999354, 1.14e-06]",-0.00099999354,1.14e-06,1092085,9.651943333081777e-07,9.135831256807007e-05,9.651943333081775e-05,0.01522689764052087
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(1.14e-06, 1.44e-06]",1.14e-06,1.44e-06,1092083,1.29643480349234e-06,0.00012907420276274636,0.00012964348034923397,0.013604028822110592
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(1.44e-06, 1.86e-06]",1.44e-06,1.86e-06,1092088,1.5958332170960802e-06,0.0001613544981904733,0.000159583321709608,0.018673872556993487
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(1.86e-06, 3.25e-06]",1.86e-06,3.25e-06,1092080,2.3584443625134937e-06,0.00024190539483927152,0.00023584443625134936,0.02107298319309162
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(3.25e-06, 5.94e-06]",3.25e-06,5.94e-06,1092085,4.535344930295284e-06,0.0004545323199531046,0.00045353449302952835,0.01626048380168676
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(5.94e-06, 9.97e-06]",5.94e-06,9.97e-06,1092083,7.5939117862884406e-06,0.000771101374043901,0.000759391178628844,0.015968263017456696
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(9.97e-06, 1.9e-05]",9.97e-06,1.9e-05,1092083,1.3667741070057792e-05,0.0013940743603743622,0.0013667741070057793,0.01833474564327478
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(1.9e-05, 4.19e-05]",1.9e-05,4.19e-05,1092084,2.7015744039735942e-05,0.002822299460824042,0.002701574403973594,0.018959216813143345
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(4.19e-05, 0.000104]",4.19e-05,0.000104,1092084,6.460370513507226e-05,0.006722797057111973,0.006460370513507225,0.018378163869388373
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,"(0.000104, 146.795]",0.000104,146.795,1092084,0.00021647509193063063,0.19907221483345755,0.021647509193063068,1.1709569020040764
yen_followthrough_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(-0.0009968, 1.15e-05]",-0.0009968,1.15e-05,126346,9.703051788159093e-06,0.000923444190153887,0.0009703051788159094,0.005129153109921816
yen_followthrough_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,"(1.15e-05, 1.59e-05]",1.15e-05,1.59e-05,126346,1.4481338972172108e-05,0.0014329813253926708,0.001448133897217211,0.004844062354560806
