regime,size,expected_net_pnl_median_bps,expected_net_pnl_p10_bps,n_obs,break_even_premium_median_bps,break_even_premium_p90_bps
stress,0.0,0.0,0.0,275,1.5811486306326727,1.9367524030611398
stress,0.05,-0.030318060645049095,-0.06340611999263085,275,1.5811761039296028,1.9367628862353798
stress,0.1,-0.06063813621938024,-0.12681425491454376,275,1.5812035772265332,1.9367733694096203
stress,0.15,-0.09096022672299343,-0.1902244047657387,275,1.5812310505234632,1.9367838525838603
stress,0.2,-0.12128433215588866,-0.2536365695462157,275,1.5812585238203933,1.9367943357581003
stress,0.25,-0.1516234609827653,-0.31706375772067413,275,1.5813569446024738,1.9368318908505973
stress,0.3,-0.1819698081248037,-0.3804981642102943,275,1.5814553653845538,1.9368694459430937
stress,0.35,-0.21232337358200393,-0.44393978901507625,275,1.581553786166634,1.9369070010355904
stress,0.4,-0.24268415735436594,-0.5073886321350201,275,1.5816522069487144,1.9369445561280871
stress,0.45,-0.2731077001768912,-0.5709002343051272,275,1.5819189145417634,1.9370463255726578
stress,0.5,-0.3035508037001341,-0.6344313971759518,275,1.5821856221348125,1.9371480950172284
stress,0.55,-0.3340134679240946,-0.6979821207474939,275,1.5824523297278612,1.9372498644617988
stress,0.6,-0.36449569284877287,-0.761552405019754,275,1.5827190373209103,1.9373516339063697
stress,0.65,-0.3953191215991293,-0.8254638931176923,275,1.58366044674374,1.937710853953237
stress,0.7,-0.4262115946078895,-0.8894444254740342,275,1.5846018561665693,1.9380700740001042
stress,0.75,-0.45717311187505355,-0.9534940020887801,275,1.5855432655893986,1.9384292940469716
stress,0.8,-0.4882036734006217,-1.0176126229619298,275,1.5864846750122283,1.9387885140938388
stress,0.85,-0.5529993787620262,-1.1154963876709163,275,1.6414780733342387,1.9599290235846676
stress,0.9,-0.6218283753909442,-1.2174134436474158,275,1.6964714716562492,1.9794201226535046
stress,0.95,-0.6946906632873757,-1.3233637908914293,275,1.7514648699782596,1.9993385619123176
stress,1.0,-0.7715862424513209,-1.433347429402956,275,1.8064582683002701,2.0167197791661113
transient,0.0,-0.0,0.0,2591,1.8927174557287483,2.0804587048309178
transient,0.05,-0.036744335943892495,-0.06225591516581023,2591,1.8927294113842723,2.08047170874134
transient,0.1,-0.07349016442799393,-0.1245133228718294,2591,1.8927413670397966,2.0804847126517627
transient,0.15,-0.11023748545230427,-0.1867722231180575,2591,1.8927533226953206,2.0804977165621854
transient,0.2,-0.1469862990168235,-0.24903261590449444,2591,1.8927652783508446,2.080510720472608
transient,0.25,-0.18374624102132903,-0.3113041371309177,2591,1.892808108484045,2.0805573058910656
transient,0.3,-0.22051152992595438,-0.3735810052574608,2591,1.892850938617245,2.080603891309523
transient,0.35,-0.25728216573069956,-0.4358632202841237,2591,1.892893768750445,2.0806504767279805
transient,0.4,-0.29405814843556455,-0.4981507822109064,2591,1.892936598883645,2.080697062146438
transient,0.45,-0.3308806193257357,-0.5604848323229953,2591,1.8930526630064284,2.0808233026066882
transient,0.5,-0.36771757962384577,-0.6228333718430231,2591,1.8931687271292112,2.080949543066938
transient,0.55,-0.404569029329895,-0.6851964007709901,2591,1.8932847912519946,2.081075783527188
transient,0.6,-0.44143496844388314,-0.747573919106896,2591,1.8934008553747774,2.081202023987438
transient,0.65,-0.4785536511324477,-0.8102041810173782,2591,1.8938105319707506,2.081647620445578
transient,0.7,-0.5157234777161261,-0.8728855868229745,2591,1.8942202085667232,2.0820932169037176
transient,0.75,-0.5529444481949187,-0.9356181365236848,2591,1.8946298851626961,2.0825388133618574
transient,0.8,-0.5902165625688254,-0.9984018301195091,2591,1.8950395617586693,2.0829844098199977
transient,0.85,-0.652499894598907,-1.0861967413715086,2591,1.9133563929460329,2.0882420604578495
transient,0.9,-0.7177708497901097,-1.176979275784629,2591,1.9346070637599444,2.0968658769786814
transient,0.95,-0.7860294281424337,-1.2707494333588707,2591,1.9561031535786846,2.130942791856792
transient,1.0,-0.857275629655879,-1.3675072140942337,2591,1.980183734870912,2.132895163388538
