regime,size,expected_net_pnl_median_bps,expected_net_pnl_p10_bps,n_obs,break_even_premium_median_bps,break_even_premium_p90_bps
stress,0.0,0.0,0.0,1382,2.193893573385121,4.41782957335721
stress,0.05,0.05729365113304338,-0.020504436163262016,1382,2.1939244535741045,4.41785041677894
stress,0.1,0.11458528733680472,-0.041010887255806074,1382,2.193955333763088,4.41787126020067
stress,0.15,0.17187490861128402,-0.06151935327763219,1382,2.193986213952072,4.417892103622401
stress,0.2,0.22916251495648124,-0.08202983422874033,1382,2.1940170941410555,4.4179129470441305
stress,0.25,0.28643509790769706,-0.1025553385738299,1382,2.1941277198281837,4.417987616854351
stress,0.3,0.3437004625437512,-0.12308806123408121,1382,2.1942383455153114,4.418062286664571
stress,0.35,0.4009586088646434,-0.14362800220949434,1382,2.194348971202439,4.418136956474791
stress,0.4,0.45820953687037386,-0.16417516150006928,1382,2.1944595968895673,4.418211626285012
stress,0.45,0.5153977058259411,-0.18478507984080744,1382,2.1947593781971286,4.418413971815461
stress,0.5,0.5725663140807906,-0.2054145588822633,1382,2.1950591595046904,4.4186163173459105
stress,0.55,0.6297153616349227,-0.2260635986244367,1382,2.195358940812252,4.41881866287636
stress,0.6,0.6868448484883369,-0.24673219906732788,1382,2.1956587221198136,4.419021008406809
stress,0.65,0.7436331315160729,-0.2677420033358972,1382,2.196716873275169,4.419735236250325
stress,0.7,0.8003523702854052,-0.2888208518628704,1382,2.1976028974979593,4.42044946409384
stress,0.75,0.8570025647963335,-0.3099687446482473,1382,2.19837847508307,4.421163691937356
stress,0.8,0.9135837150488579,-0.33118568169202844,1382,2.199154052668181,4.421877919780872
stress,0.85,0.936399721465546,-0.38616776257164576,1382,2.2581698107665757,4.488645251624391
stress,0.9,0.9551824366147204,-0.4451831347187767,1382,2.30420281895524,4.563271405632512
stress,0.95,0.9699318604963814,-0.5082317981334212,1382,2.35535678719597,4.629311182863314
stress,1.0,0.9806479931105285,-0.5753137528155793,1382,2.404240531386902,4.684781313227997
transient,0.0,0.0,0.0,1484,0.7973509243498403,1.0339378094588558
transient,0.05,0.05380351387661554,-0.03760802603205044,1484,0.7973612759976793,1.033961599515327
transient,0.1,0.10760553521302214,-0.07521754460430982,1484,0.7973716276455184,1.0339853895717988
transient,0.15,0.16140606400921986,-0.1128285557167781,1484,0.7973819792933572,1.03400917962827
transient,0.2,0.21520510026520864,-0.1504410593694553,1484,0.7973923309411962,1.0340329696847412
transient,0.25,0.2689930080812111,-0.18806469146211877,1484,0.7974294148513918,1.0341181955667897
transient,0.3,0.32277556899709386,-0.22569367045490207,1484,0.7974664987615874,1.034203421448838
transient,0.35,0.3765527830128567,-0.2633279963478052,1484,0.7975035826717829,1.0342886473308863
transient,0.4,0.43032465012849974,-0.3009676691408281,1484,0.7975406665819784,1.0343738732129346
transient,0.45,0.4840500290588366,-0.33865383011915723,1484,0.7976411591834397,1.0346048243330754
transient,0.5,0.5377609185812345,-0.37635448050542525,1484,0.797741651784901,1.0348357754532165
transient,0.55,0.5914573186956934,-0.41406962029963246,1484,0.7978421443863623,1.0350667265733575
transient,0.6,0.6451392294022134,-0.4517992495017785,1484,0.7979426369878235,1.0352976776934983
transient,0.65,0.6985683965341568,-0.489781622278501,1484,0.798297350105882,1.036112875934494
transient,0.7,0.7519464197709864,-0.5278151389503375,1484,0.7986551491908329,1.0364608616471072
transient,0.75,0.8052732991127017,-0.565899799517288,1484,0.7991941467187142,1.0367762987304514
transient,0.8,0.8585490345593032,-0.6040356039793525,1484,0.7999130420488806,1.0370917358137957
transient,0.85,0.8868135523497297,-0.6671826260975922,1484,0.8230543452805499,1.0736104535950688
transient,0.9,0.9120904469790349,-0.7333172713769528,1484,0.843113333274593,1.111372063510676
transient,0.95,0.934379718447219,-0.8024395398174348,1484,0.8577772274306823,1.1393752987478063
transient,1.0,0.9536813667542816,-0.874549431419038,1484,0.8701787038835108,1.1799000839888247
